Title,Url,Code Link,Confidence,Year
Blind Bitstream-corrupted Video Recovery via Metadata-guided Diffusion Model,https://arxiv.org/abs/2604.13906v1,https://github.com/shuyun-wang/m-gdm,medium,2604
Medal S: Spatio-Textual Prompt Model for Medical Segmentation,https://arxiv.org/abs/2511.13001v1,https://github.com/yinghemedical/medal-s,high,2511
MR6D: Benchmarking 6D Pose Estimation for Mobile Robots,https://arxiv.org/abs/2508.13775v1,https://huggingface.co/datasets/anas-gouda,medium,2508
SIS-Challenge: Event-based Spatio-temporal Instance Segmentation Challenge at the CVPR 2025 Event-based Vision Workshop,https://arxiv.org/abs/2508.12813v1,https://github.com/tub-rip/mousesis,high,2508
Rethinking Query-based Transformer for Continual Image Segmentation,https://arxiv.org/abs/2507.07831v1,https://github.com/soolab/simcis,high,2507
Revisiting Audio-Visual Segmentation with Vision-Centric Transformer,https://arxiv.org/abs/2506.23623v1,https://github.com/spyflying/vct_avs,high,2506
Relation3D: Enhancing Relation Modeling for Point Cloud Instance Segmentation,https://arxiv.org/abs/2506.17891v1,https://github.com/howard-coder191/relation3d,high,2506
ScaleLSD: Scalable Deep Line Segment Detection Streamlined,https://arxiv.org/abs/2506.09369v1,https://github.com/ant-research/scalelsd,high,2506
FreeGave: 3D Physics Learning from Dynamic Videos by Gaussian Velocity,https://arxiv.org/abs/2506.07865v1,https://github.com/vlar-group/freegave,medium,2506
LogoSP: Local-global Grouping of Superpoints for Unsupervised Semantic Segmentation of 3D Point Clouds,https://arxiv.org/abs/2506.07857v1,https://github.com/vlar-group/logosp,high,2506
DeformCL: Learning Deformable Centerline Representation for Vessel Extraction in 3D Medical Image,https://arxiv.org/abs/2506.05820v1,https://github.com/barry664/deformcl,high,2506
OV-COAST: Cost Aggregation with Optimal Transport for Open-Vocabulary Semantic Segmentation,https://arxiv.org/abs/2506.03706v1,https://github.com/adityagandhamal/ov-coast,high,2506
Attacking Attention of Foundation Models Disrupts Downstream Tasks,https://arxiv.org/abs/2506.05394v3,https://github.com/hondamunigeprasannasilva/attack-attention,medium,2506
SAM-I2V: Upgrading SAM to Support Promptable Video Segmentation with Less than 0.2% Training Cost,https://arxiv.org/abs/2506.01304v1,https://github.com/showlab/sam-i2v,high,2506
Perceptual Inductive Bias Is What You Need Before Contrastive Learning,https://arxiv.org/abs/2506.01201v2,https://github.com/juz031/midvcl,medium,2506
Synthetic Generation and Latent Projection Denoising of Rim Lesions in Multiple Sclerosis,https://arxiv.org/abs/2505.23353v1,https://github.com/agr78/prlx-gan,medium,2505
Universal Domain Adaptation for Semantic Segmentation,https://arxiv.org/abs/2505.22458v2,https://github.com/ku-vgi/unimap,high,2505
Sketchy Bounding-box Supervision for 3D Instance Segmentation,https://arxiv.org/abs/2505.16399v1,https://github.com/dengq7/sketchy-3dis,high,2505
DiGIT: Multi-Dilated Gated Encoder and Central-Adjacent Region Integrated Decoder for Temporal Action Detection Transformer,https://arxiv.org/abs/2505.05711v1,https://github.com/dotori-hj/digit,medium,2505
Are Synthetic Corruptions A Reliable Proxy For Real-World Corruptions?,https://arxiv.org/abs/2505.04835v1,https://github.com/shashankskagnihotri/benchmarking_robustness,medium,2505
Bounding Box-Guided Diffusion for Synthesizing Industrial Images and Segmentation Map,https://arxiv.org/abs/2505.03623v2,https://github.com/covisionlab/diffusion_labeling,high,2505
Advancing Generalizable Tumor Segmentation with Anomaly-Aware Open-Vocabulary Attention Maps and Frozen Foundation Diffusion Models,https://arxiv.org/abs/2505.02753v1,https://github.com/yankai96/diffugts,high,2505
CAV-MAE Sync: Improving Contrastive Audio-Visual Mask Autoencoders via Fine-Grained Alignment,https://arxiv.org/abs/2505.01237v2,https://github.com/edsonroteia/cav-mae-sync,medium,2505
ReferDINO-Plus: 2nd Solution for 4th PVUW MeViS Challenge at CVPR 2025,https://arxiv.org/abs/2503.23509v2,https://github.com/isee-laboratory/referdino-plus,high,2503
Realizing Immersive Volumetric Video: A Multimodal Framework for 6-DoF VR Engagement,https://arxiv.org/abs/2604.09473v1,https://github.com/metaverse-ai-lab-thu/imvid,medium,2604
FIMA-Q: Post-Training Quantization for Vision Transformers by Fisher Information Matrix Approximation,https://arxiv.org/abs/2506.11543v1,https://github.com/shihewang/fima-q,medium,2506
Gradient Inversion Attacks on Parameter-Efficient Fine-Tuning,https://arxiv.org/abs/2506.04453v1,https://github.com/info-ucr/peftleak,medium,2506
Towards In-the-wild 3D Plane Reconstruction from a Single Image,https://arxiv.org/abs/2506.02493v1,https://github.com/jcliu0428/zeroplane,high,2506
Synthetic Generation and Latent Projection Denoising of Rim Lesions in Multiple Sclerosis,https://arxiv.org/abs/2505.23353v1,https://github.com/agr78/prlx-gan,high,2505
Proximal Algorithm Unrolling: Flexible and Efficient Reconstruction Networks for Single-Pixel Imaging,https://arxiv.org/abs/2505.23180v1,https://github.com/pwangcs/proxunroll,high,2505
GoLF-NRT: Integrating Global Context and Local Geometry for Few-Shot View Synthesis,https://arxiv.org/abs/2505.19813v1,https://github.com/klmav-cuc/golf-nrt,medium,2505
Depth-Guided Bundle Sampling for Efficient Generalizable Neural Radiance Field Reconstruction,https://arxiv.org/abs/2505.19793v1,https://github.com/klmav-cuc/gdb-nerf,high,2505
Degradation-Aware Feature Perturbation for All-in-One Image Restoration,https://arxiv.org/abs/2505.12630v1,https://github.com/txphome/dfpir,high,2505
"EvEnhancer: Empowering Effectiveness, Efficiency and Generalizability for Continuous Space-Time Video Super-Resolution with Events",https://arxiv.org/abs/2505.04657v1,https://github.com/w-shuoyan/evenhancer,high,2505
CAV-MAE Sync: Improving Contrastive Audio-Visual Mask Autoencoders via Fine-Grained Alignment,https://arxiv.org/abs/2505.01237v2,https://github.com/edsonroteia/cav-mae-sync,medium,2505
NTIRE 2025 Challenge on Image Super-Resolution ($	imes$4): Methods and Results,https://arxiv.org/abs/2504.14582v2,https://github.com/zhengchen1999/ntire2025_imagesr_x4,high,2504
Let Samples Speak: Mitigating Spurious Correlation by Exploiting the Clusterness of Samples,https://arxiv.org/abs/2512.22874v1,https://github.com/davelee-uestc/nsf_debiasing,medium,2512
OmniTrack++: Omnidirectional Multi-Object Tracking by Learning Large-FoV Trajectory Feedback,https://arxiv.org/abs/2511.00510v2,https://github.com/xifen523/omnitrack,medium,2511
Domain-Adaptive Pretraining Improves Primate Behavior Recognition,https://arxiv.org/abs/2509.12193v1,https://github.com/ecker-lab/dap-behavior,high,2509
